"","i","j","f.i.wt","f.j.wt","f.i.j","f.ij.i","f.ij.j","ep.ij","ep.ji","max.ep","delta","fmax"
"1624","ACOAD3f","HACD7",-0.076691956210836,-0.0108113831464421,-0.0658806005644278,-0.00254048079195671,-0.0684210570183959,0.00827090235448535,0.00827089919244015,0.00827090235448535,3.1620452090042e-09,0.0792324401648379
"1625","ACOAD3f","HADPCOADH",-0.076691956210836,1.97977821106716,-2.05621086516724,1.89264264045128,-0.0964756899552483,-0.0871355706158776,-0.0197837337444122,-0.0871355706158776,-0.0673518368714654,1.88330252111191
"1626","ACOAD3f","LPLIPAL1A120pp",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1627","ACOAD3f","MTHFC",-0.076691956210836,-0.0394176364108335,-0.0372743353799796,-0.0369420325504241,-0.0742163531200634,0.00247560386040942,0.00247560309077263,0.00247560386040942,7.6963678485864e-10,0.113633989530897
"1628","ACOAD3f","MTHFD",-0.076691956210836,-0.0394176364108335,-0.0372743353799796,-0.0369420325504241,-0.0742163531200634,0.00247560386040942,0.00247560309077263,0.00247560386040942,7.6963678485864e-10,0.113633989530897
"1629","ACOAD3f","PA120abcpp",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1630","ACOAD3f","PAPSSH",-0.076691956210836,0.237138844943695,-0.313732880294371,0.229740537236229,-0.0805369730412108,-0.00739830770746536,-0.0038450168303748,-0.00739830770746536,-0.00355329087709055,0.156601871902484
"1631","ACOAD3f","PGCD",-0.076691956210836,-0.0734709439838652,-0.00322101358931369,-0.068888315450128,-0.0721093278324933,0.0045826285337372,0.00458262837834272,0.0045826285337372,1.55394475065407e-10,0.145580271816359
"1632","ACOAD3f","PIt2rpp",-0.076691956210836,-0.0186911411996984,-0.0580008391282933,-0.0200144372960159,-0.0780152520612582,-0.00132329609631751,-0.00132329585042221,-0.00132329609631751,-2.45895304118449e-10,0.0967063935068519
"1633","ACOAD3f","PLIPA2A120pp",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1634","ACOAD3f","PPGKr",-0.076691956210836,0.805514626736768,-0.882206904322333,0.780000841393905,-0.102205442006534,-0.0255137853428632,-0.0255134857956983,-0.0255137853428632,-2.99547164850367e-07,0.703309184730234
"1635","ACOAD3f","PSERT",-0.076691956210836,-0.0734709439838652,-0.00322101358931369,-0.068888315450128,-0.0721093278324933,0.0045826285337372,0.00458262837834272,0.0045826285337372,1.55394475065407e-10,0.145580271816359
"1636","ACOAD3f","PSP_L",-0.076691956210836,-0.0734709439838652,-0.00322101358931369,-0.068888315450128,-0.0721093278324933,0.0045826285337372,0.00458262837834272,0.0045826285337372,1.55394475065407e-10,0.145580271816359
"1637","ACOAD3f","THD2pp",-0.076691956210836,-0.0645742030479194,-0.012117758213947,-0.0690803423513487,-0.0811980953179695,-0.00450613930342936,-0.00450613910713346,-0.00450613930342936,-1.9629589620429e-10,0.145772298562185
"1638","ACOAD3f","TKT2",-0.076691956210836,-0.0186928842284135,-0.0579990961013331,-0.0175139864429719,-0.0755130589131908,0.00117889778544167,0.00117889729764523,0.00117889778544167,4.8779644212793e-10,0.0942059431416043
"1639","ECOAH1","3HAD100",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1640","ECOAH1","3HAD120",-0.076691956210836,0,-0.076691956210836,-0.0137925621610413,-0.0904845126106709,-0.0137925621610413,-0.0137925563998349,-0.0137925621610413,-5.76120640083388e-09,0.0904845183718773
"1641","ECOAH1","3HAD40",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1642","ECOAH1","3HAD60",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1643","ECOAH1","3HAD80",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1644","ECOAH1","3OAR100",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1645","ECOAH1","3OAR120",-0.076691956210836,0,-0.076691956210836,-0.0137925621610413,-0.0904845126106709,-0.0137925621610413,-0.0137925563998349,-0.0137925621610413,-5.76120640083388e-09,0.0904845183718773
"1646","ECOAH1","3OAR40",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1647","ECOAH1","3OAR60",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1648","ECOAH1","3OAR80",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1649","ECOAH1","3OAS100",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1650","ECOAH1","3OAS120",-0.076691956210836,0,-0.076691956210836,-0.0137925621610413,-0.0904845126106709,-0.0137925621610413,-0.0137925563998349,-0.0137925621610413,-5.76120640083388e-09,0.0904845183718773
"1651","ECOAH1","3OAS60",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1652","ECOAH1","3OAS80",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1653","ECOAH1","AACPS3",-0.076691956210836,-0.00497464115400093,-0.0717173171019487,-0.00116677837268422,-0.0728840950219187,0.0038078627813167,0.00380786118891736,0.0038078627813167,1.59239933739119e-09,0.0778587361759196
"1654","ECOAH1","AACPS4",-0.076691956210836,-0.00586114698576704,-0.0708308116088685,-0.00137509239467472,-0.0722059033909123,0.00448605459109233,0.00448605281992369,0.00448605459109233,1.77116864230609e-09,0.0780670503766794
"1655","ECOAH1","AACPS7",-0.076691956210836,-0.00303586957951223,-0.0736560878137827,1.80937487213623e-11,-0.0736560878137827,0.00303586959760598,0.00303586839705329,0.00303586959760598,1.20055268504338e-09,0.076691957393295
"1656","ECOAH1","ACACT4r",-0.076691956210836,-0.0459055730003584,-0.0307863910176689,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1657","ECOAH1","ACACT5r",-0.076691956210836,-0.0324584655785175,-0.0442334985360919,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1658","ECOAH1","ACACT6r",-0.076691956210836,-0.0258447165767701,-0.0508472469283925,-0.00254048079195671,-0.0533877270618826,0.0233042357848134,0.0233042291489534,0.0233042357848134,6.63586002813688e-09,0.0792324436386528
"1659","ECOAH1","ACACT7r",-0.076691956210836,-0.0108113831464421,-0.0658805770914118,-0.00254048079195671,-0.0684210570183959,0.00827090235448535,0.00827089919244015,0.00827090235448535,3.1620452090042e-09,0.0792324401648379
"1660","ECOAH1","ACOAD4f",-0.076691956210836,-0.0459055730003584,-0.0307863910176689,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1661","ECOAH1","ACOAD5f",-0.076691956210836,-0.0324584655785175,-0.0442334985360919,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1662","ECOAH1","ACOAD6f",-0.076691956210836,-0.0157410537804863,-0.0609509076837161,-0.00254048079195671,-0.0634913877429353,0.0132005729885296,0.0132005684679007,0.0132005729885296,4.52062884348514e-09,0.0792324415234216
"1663","ECOAH1","ACOAD7f",-0.076691956210836,-0.00497464115400093,-0.0717173171019487,-0.00116677837268422,-0.0728840950219187,0.0038078627813167,0.00380786118891736,0.0038078627813167,1.59239933739119e-09,0.0778587361759196
"1664","ECOAH1","AGPAT120",-0.076691956210836,0,-0.076691956210836,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1665","ECOAH1","CBMKr",-0.076691956210836,-0.0321913261533593,-0.0445006380311607,-0.0301666234052823,-0.0746672541657999,0.00202470274807698,0.0020247020450361,0.00202470274807698,7.03040875515981e-10,0.106858580319159
"1666","ECOAH1","CTECOAI7",-0.076691956210836,-0.00586114698576704,-0.0708308116088685,-0.00137509239467472,-0.0722059033909123,0.00448605459109233,0.00448605281992369,0.00448605459109233,1.77116864230609e-09,0.0780670503766794
"1667","ECOAH1","EAR100x",-0.076691956210836,0,-0.076691956210836,-0.00387499057326107,-0.0805669452978259,-0.00387499057326107,-0.00387498908698992,-0.00387499057326107,-1.48627114782141e-09,0.0805669467840971
"1668","ECOAH1","EAR120x",-0.076691956210836,0,-0.076691956210836,-0.00387499057326107,-0.0805669452978259,-0.00387499057326107,-0.00387498908698992,-0.00387499057326107,-1.48627114782141e-09,0.0805669467840971
"1669","ECOAH1","EAR40x",-0.076691956210836,0,-0.076691956210836,-0.00433199816850419,-0.0810239525814748,-0.00433199816850419,-0.00433199637063879,-0.00433199816850419,-1.79786539822313e-09,0.0810239543793402
"1670","ECOAH1","EAR60x",-0.076691956210836,0,-0.076691956210836,-0.00433199816850419,-0.0810239525814748,-0.00433199816850419,-0.00433199637063879,-0.00433199816850419,-1.79786539822313e-09,0.0810239543793402
"1671","ECOAH1","EAR80x",-0.076691956210836,0,-0.076691956210836,-0.00433199816850419,-0.0810239525814748,-0.00433199816850419,-0.00433199637063879,-0.00433199816850419,-1.79786539822313e-09,0.0810239543793402
"1672","ECOAH1","ECOAH2",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1673","ECOAH1","ECOAH3",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1674","ECOAH1","ECOAH4",-0.076691956210836,-0.0459055730003584,-0.0307863961202493,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1675","ECOAH1","ECOAH5",-0.076691956210836,-0.0324584655785175,-0.0442335090704003,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1676","ECOAH1","ECOAH6",-0.076691956210836,-0.0258447165767701,-0.0508472608535556,-0.00254048079195671,-0.0533877270618826,0.0233042357848134,0.0233042291489534,0.0233042357848134,6.63586002813688e-09,0.0792324436386528
"1677","ECOAH1","ECOAH7",-0.076691956210836,-0.0108113831464421,-0.0658806005644278,-0.00254048079195671,-0.0684210570183959,0.00827090235448535,0.00827089919244015,0.00827090235448535,3.1620452090042e-09,0.0792324401648379
"1678","ECOAH1","FACOAE120",-0.076691956210836,-0.00303586957951223,-0.0736561173093347,1.80937487213623e-11,-0.0736560878137827,0.00303586959760598,0.00303586839705329,0.00303586959760598,1.20055268504338e-09,0.076691957393295
"1679","ECOAH1","FACOAE160",-0.076691956210836,-0.00497464115400093,-0.0717173449406442,-0.00116677837268422,-0.0728840950219187,0.0038078627813167,0.00380786118891736,0.0038078627813167,1.59239933739119e-09,0.0778587361759196
"1680","ECOAH1","FACOAE161",-0.076691956210836,-0.00586114698576704,-0.0708308387846422,-0.00137509239467472,-0.0722059033909123,0.00448605459109233,0.00448605281992369,0.00448605459109233,1.77116864230609e-09,0.0780670503766794
"1681","ECOAH1","FACOAL120t2pp",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1682","ECOAH1","FACOAL80",-0.076691956210836,0,-0.0766919882231903,0.0267907616334897,-0.0499012058057739,0.0267907616334897,0.0267907504050621,0.0267907616334897,1.12284275974317e-08,0.0499012058057739
