"M","env.effect","f.i.wt"
"BTS3r",0,0
"BTS4",0,0
"BUTAFDOR",0,0
"BUTCT",0,0
"BUTSabc",0,0
"BUTSO3abcpp",0,0
"BUTt2r",0,0
"BUTt2rpp",0,0
"BUTt4pp",0,0
"BWCOGDS1",0,0
"BWCOGDS2",0,0
"BWCOS",0,0
"BZ12DOX",0,0
"BZALCt2pp",0,0
"BZALDH",0,0
"BZALt2pp",0,0
"BZDH",0,0
"BZDIOLDH",0,0
"BZSCD",0,0
"BZSCT",0,0
"BZSS",0,0
"BZt",0,0
"BZt1pp",0,0
"C100SN",0,0
"C120SN",0,0
"C140SN",0,0
"C141SN",1.36e-10,0
"C160SN",0,0
"C161SN",0,0
"C180SN",0,0
"C181SN",0,0
"C190cSN",0,0
"CA2abc",0,0
"CA2abc1",0,0
"CA2abc1pp",0,0
"CA2abcpp",0,0
"CA2t3pp",0,0
"CAATPS",0,0
"CACOAHA",0,0
"CADVt",0,0
"CADVtpp",0,0
"CAFFCOA",0,0
"CAMPP",0,0
"CAT23DOX",0,0
"CAt4",0,0
"CAt6",0,0
"CATDOX",0,0
"CATECHOLtex",0,0
"CATECHOLtpp",0,0
"CBFC2",0,0
"CBFC2pp",0,0
"CBFCpp",0,0
"CBFCu",0,0
"CBIabc",0,0
"CBIAT",0,0
"CBItonex",0,0
"CBIuabcpp",0,0
"CBL1abc",0,0
"CBL1abcpp",0,0
"CBL1HBIabc",0,0
"CBL1tonex",0,0
"CBL2abc",0,0
"CBLAT",0,0
"CBLAT2",1e-11,0
"CBLD",0,0
"CBMD",0,0
"CBMKr",0.0516527247,-0.0321913261533593
"CBPAH",0,0
"CBPS",0,0
"CCGS",0,0
"CCP",0,0
"CD2abc1",0,0
"CD2abc2",0,0
"CD2abcpp",0,0
"CD2t3pp",0,0
"CD2t4",0,0
"CD2t4pp",0,0
"CD2tpp",2.67e-10,0
"CDAPPA120",0,0
"CDAPPA140",0,0
"CDAPPA141",0,0
"CDAPPA160",0,0
"CDAPPA160190",0,0
"CDAPPA161",0,0
"CDAPPA180",0,0
"CDAPPA181",0,0
"CDAPPA190",0,0
"CDAPPA_EC",0,0
"CDAPPA_HP",0,0
"CDAPPA_SA",0,0
"CDGGGPP3",0,0
"CDGGGPP4",0,0
"CDGGGS",0,0
"CDGGGS2",0,0
"CDGGGSAT",0,0
"CDGGGSAT2",0,0
"CDGGIPT",0,0
"CDGGIPT2",0,0
"CDGPT_BS",0,0
"CDGR",0,0
"CDGS",0,0
"CDGS1",0,0
"CDGUNPD",0,0
"CDP4D6DGLCRx",1e-11,0
"CDPABEQS",1e-11,0
"CDPDSP_BS",1e-11,0
"CDPGD",1e-11,0
"CDPGH",0,0
"CDPGLC46DH",1.02e-10,0
"CDPGS",0,0
"CDPPT160",0,0
"CDPPT160190",0,0
"CEL6abc",0,0
"CELabc",0,0
"CELASE1",1.41e-10,0
"CELASE2",1.41e-10,0
"CELBpts",0,0
"CELLBabc",0,0
"CELLBpts",0,0
"CELLBpts_1",0,0
"CEPA",0,0
"CF3Ha",1e-11,0
"CF3Hg",1e-11,0
"CF3Sa",0,0
"CF3Sg",1e-11,0
"CFAS160E",0,0
"CFAS160G",0,0
"CFAS180E",0,0
"CFAS180G",0,0
"CGLYabcpp",0,0
"CH2ACH",0,0
"CH3ACH",0,0
"CH4St",0,0
"CH4t",0,0
"CHACH",0,0
"CHCOAL",0,0
"CHDCCH",0,0
"CHITOBex",0,0
"CHLabc",1.51e-10,0
"CHLabcpp",0,0
"CHLt2",0,0
"CHLt2pp",1e-11,0
"CHOLD",0,0
"CHOLD2",0,0
"CHOLSabc",0,0
"CHOLSabc_1",0,0
"CHOLS_ex",0,0
"CHOLSH",0,0
"CHORt2",0,0
"CHPHYS",0,0
"CHTBSptspp",0,0
"CIGAMS",0,0
"CINNDO",0,0
"CITabc",0,0
"CITACt",0,0
"CITCIa",0,0
"CITCIb",0,0
"CITL",0,0
"CIT_Mgt",0,0
"CITMS",0,0
"CITRt2r",0,0
"CITt10",0,0
"CITt11",0,0
"CITt12",0,0
"CITt13",0,0
"CITt14",0,0
"CITt15",0,0
"CITt2r",0.0069383884,0.00432339530358786
"CITt3pp",0,0
"CITt4_1",0,0
"CITt4pp",0,0
"CITt7",4.67e-10,0
"CITt7pp",0,0
"CITt_kt",0,0
"CLB6PH",0,0
"CLBH",0,0
"CLBptspp",0,0
"CLBtpp",0,0
"CLIPAabctex",0,0
"CLIPAtex",0,0
"CLPNH120pp",0,0
"CLPNH140pp",0,0
"CLPNH141pp",0,0
"CLPNH160pp",0,0
"CLPNH161pp",0,0
"CLPNH180pp",0,0
"CLPNH181pp",0,0
"CLPNS120",0,0
"CLPNS120pp",0,0
"CLPNS140",0,0
"CLPNS140pp",0,0
"CLPNS141pp",0,0
"CLPNS160",0,0
"CLPNS160190",0,0
"CLPNS160pp",0,0
"CLPNS161",0,0
"CLPNS161pp",0,0
"CLPNS180",1.31e-10,0
"CLPNS180pp",0,0
"CLPNS181",0,0
"CLPNS181pp",0,0
"CLPNS2_BS",1e-11,0
"CLPNS_EC",0,0
"CLPNS_HP",0,0
"CLPNS_SA",0,0
"CLt3r_2",0,0
"CMCBTFL",0,0
"CMCBTFU",0,0
"CMCMSAD",3.72e-10,0
"CMHMI",0,0
"CMLDC",0,0
"CMPDAi",0,0
"CMPN",0,0
"CMPt6",1e-11,0
"CMtpp",0,0
"CO2t",0,0
"CO2tpp_1",1.41e-11,0
"COabc",0,0
"COALCDH",0,0
"COALDDH",0,0
"COAt",0,0
"COB1NDAAT1",0,0
"COB1NDAAT2",0,0
"COB2NDARED",0,0
"COBALT2abcpp",0,0
"Cobalt2abcppI",0,0
"COBALT2t3pp",0,0
"COBALTt4pp",0,0
"COBALTt5",0,0
"COBNAD",0,0
"COBS",0,0
"COCHL",0,0
"COCOAHA",0,0
"CODH2r",0,0
"CODH3",0,0
"CODH4",0,0
"CODH4_1",0,0
"CODH_ACS",0,0
"CODHr",0,0
"CODSCL2MT",0,0
"CODSCL3MT",0,0
"CODSCL4MT",0,0
"CODSCL5BMT",0,0
"CODSCL5DA",0,0
"CODSCL6ARED",0,0
"CODSCL6BMT",0,0
"CODSCL7MTDC",0,0
"CODSCL8XI",0,0
"colipa20Oagtex",0,0
"COLIPAabcpp",0,0
"COLIPAabctex",0,0
"COLIPAKpp",5.07e-10,0
"COLIPAPabctex",0,0
"COLIPAtex",0,0
"COMS",0,0
"CONFRLtex",0,0
"CONFRLtpp",0,0
"COt",1e-11,0
"COt_1",0,0
