Distance,Delta_Growth_Mean,Delta_Growth_Mean_Null,Delta_Growth_SE,Delta_Growth_SE_Null
374,0.0054612002,0.0042876859,0.0006934835,0.0003521741
375,0.0054614335,0.0042877987,0.0006935038,0.0003521938
376,0.005460084,0.0042854082,0.0006933019,0.0003519747
377,0.0055360117,0.0043222574,0.0006975039,0.0003534712
378,0.0055383777,0.0043210985,0.0006974889,0.0003530767
379,0.0055965086,0.0043208643,0.0007126672,0.0003530746
380,0.0056374413,0.0043593251,0.0007133863,0.0003546907
381,0.0057530644,0.0043576801,0.0007215187,0.0003546749
382,0.0058687139,0.0043612272,0.0007298703,0.0003547349
383,0.0065638106,0.0043604737,0.0010041476,0.0003546686
384,0.0065708713,0.0043603601,0.0010041264,0.0003546528
385,0.0065779231,0.0043603949,0.0010052939,0.0003546554
386,0.0065736732,0.0043673343,0.0010056033,0.0003545483
387,0.0065780095,0.0043621565,0.001005765,0.0003541295
388,0.0066113134,0.0043996378,0.0010059388,0.0003556503
389,0.0067150748,0.0043986313,0.0010106676,0.0003555771
390,0.0067150999,0.0043987498,0.001010675,0.000355585
391,0.0067541498,0.0044406207,0.0010111695,0.0003567946
392,0.0068027189,0.0045378229,0.001011658,0.000361444
393,0.0068337155,0.004537783,0.0010119226,0.0003614433
394,0.0068337155,0.0045356129,0.0010119226,0.0003612574
395,0.006871873,0.0045680515,0.0010123847,0.0003623178
396,0.0068775942,0.004574836,0.0010123622,0.0003622718
397,0.0069444436,0.0045749216,0.0010169986,0.0003622764
398,0.0069759801,0.004574965,0.0010171501,0.0003622806
399,0.006975878,0.0045736046,0.001017145,0.000362139
400,0.0070172705,0.0045725447,0.0010315546,0.0003620409
401,0.0070295132,0.0045715932,0.0010315373,0.0003619607
402,0.0079343867,0.004570702,0.0013674529,0.0003619207
403,0.0079776529,0.0046073517,0.0013678877,0.0003633192
404,0.007989219,0.0046062043,0.001368099,0.0003632383
405,0.0079638026,0.0046426693,0.0013679981,0.0003646034
406,0.0080084601,0.0046570433,0.0013667928,0.0003650203
407,0.0080107241,0.0046548082,0.0013666777,0.0003648342
408,0.0080110491,0.0046535697,0.0013667175,0.0003647584
409,0.0080095178,0.0047035575,0.0013666945,0.0003675981
410,0.0080093201,0.0047026047,0.0013666946,0.0003675265
411,0.0080188501,0.0047227453,0.0013667357,0.0003678357
412,0.0079923927,0.004749214,0.0013666324,0.000368038
413,0.0080265645,0.0047844747,0.0013668532,0.0003692991
414,0.0080246081,0.0047835245,0.0013666741,0.0003692648
415,0.0080368701,0.0047838393,0.0013666011,0.0003692972
416,0.0080361605,0.0047839468,0.0013665957,0.0003693065
417,0.0080377122,0.0048209918,0.0013666,0.0003707012
418,0.0080684157,0.0048182735,0.0013667609,0.0003705055
419,0.0080648002,0.0048129148,0.0013666906,0.0003700507
420,0.0080647719,0.0048124059,0.0013666897,0.0003700274
421,0.0080835616,0.004819065,0.0013666531,0.0003699944
422,0.0080835127,0.0048550449,0.001366653,0.0003712878
423,0.0080841591,0.0048550892,0.0013666894,0.0003712889
424,0.0080824356,0.0048519894,0.001366667,0.0003710431
425,0.0081203827,0.0049029726,0.001366971,0.0003739676
426,0.0081205613,0.0048974014,0.0013669708,0.0003735115
